DO_org,DO_w,DO_b,DO_g,,,,DOE_w,DOE_b,DOE_g,DOPE_w,DOPE_b,DOPE_g,DOR_w,DOR_b,DOR_g
7.04943125,6.663048799,6.700865736,6.708441842,,,,0.386382451,0.348565514,0.340989408,,,,,,
7.045653125,6.652165256,6.68995324,6.698177669,,,,0.393487869,0.355699885,0.347475456,,,,,,
7.043764062,6.654807189,6.692602384,6.700668472,,,,0.388956873,0.351161678,0.34309559,,,,,,
7.042819531,6.655709678,6.693506609,6.701491641,,,,0.387109853,0.349312922,0.34132789,,,,,,
7.042347266,6.655916075,6.693712797,6.70165614,,,,0.386431191,0.348634469,0.340691126,,,,,,
7.042111133,6.656019283,6.693815899,6.701738411,,,,0.38609185,0.348295234,0.340372722,,,,,,
7.042229199,6.656070889,6.693867451,6.701779551,,,,0.38615831,0.348361748,0.340449648,,,,,,
7.042288232,6.656096692,6.693893227,6.701800121,,,,0.38619154,0.348395005,0.340488111,,,,,,
7.042317749,6.656109595,6.693906116,6.701810408,,,,0.386208154,0.348411633,0.340507341,,,,,,
7.042332507,6.656116046,6.693912561,6.701815552,,,,0.386216461,0.348419946,0.340516955,,,,,,
7.042339886,6.655659937,6.693454447,6.701354519,,,,0.386679949,0.348885439,0.340985367,,,,,,
7.042343576,6.655853527,6.693648871,6.701549566,,,,0.386490049,0.348694705,0.34079401,,,,,,
7.042345421,6.661963294,6.699775081,6.707330229,,,,0.380382127,0.34257034,0.335015192,,,,,,
7.042346343,6.664889912,6.702709141,6.710091774,,,,0.377456431,0.339637202,0.332254569,,,,,,
7.042346804,6.665900906,6.70372184,6.711016248,,,,0.376445898,0.338624964,0.331330556,,,,,,
7.080073402,6.666217678,6.704038635,6.711288078,,,,0.413855724,0.376034767,0.368785324,,,,,,
7.192786701,6.66643274,6.704253951,6.711481201,,,,0.526353961,0.48853275,0.4813055,,,,,,
7.382193351,6.666578053,6.704399553,6.711615893,,,,0.715615298,0.677793798,0.670577458,,,,,,
7.584746675,6.66674515,6.704567204,6.711778546,,,,0.918001525,0.880179471,0.872968129,,,,,,
7.572723338,6.666904254,6.704726912,6.711936121,,,,0.905819084,0.867996426,0.860787217,,,,,,
7.566711669,6.666889366,6.704711917,6.711919603,,,,0.899822303,0.861999752,0.854792066,,,,,,
7.563705834,6.666900809,6.704723389,6.711930404,,,,0.896805025,0.858982445,0.85177543,,,,,,
7.562202917,6.668483712,6.706310183,6.713424598,,,,0.893719205,0.855892734,0.848778319,,,,,,
7.561451459,6.670947855,6.708780374,6.715753452,,,,0.890503604,0.852671085,0.845698007,,,,,,
7.561075729,6.672161657,6.709997084,6.716899557,,,,0.888914072,0.851078645,0.844176172,,,,,,
7.560887865,6.673332846,6.711171056,6.718005523,,,,0.887555019,0.849716809,0.842882342,,,,,,
7.560793932,6.67495302,6.712794968,6.719533184,,,,0.885840912,0.847998964,0.841260748,,,,,,
7.560746966,6.676478476,6.714323897,6.720971567,,,,0.88426849,0.846423069,0.839775399,,,,,,
7.560723483,6.677260384,6.715107609,6.721710159,,,,0.883463099,0.845615874,0.839013324,,,,,,
7.477011742,6.67761354,6.7154615,6.722041327,,,,0.799398202,0.761550242,0.754970415,,,,,,
7.426905871,6.677809063,6.715657472,6.722226031,,,,0.749096808,0.711248399,0.70467984,,,,,,
7.401852935,6.678004599,6.715853455,6.722410749,,,,0.723848336,0.68599948,0.679442186,,,,,,
7.321376468,6.678305702,6.716155169,6.722692764,,,,0.643070766,0.605221299,0.598683704,,,,,,
7.223188234,6.678625463,6.716475506,6.722989979,,,,0.544562771,0.506712728,0.500198255,,,,,,
7.130344117,6.679651684,6.717503899,6.723954658,,,,0.450692433,0.412840218,0.406389459,,,,,,
7.039572058,6.681031585,6.718886743,6.725253612,,,,0.358540473,0.320685315,0.314318446,,,,,,
6.972786029,6.682174198,6.72003182,6.726330901,,,,0.290611831,0.252754209,0.246455128,,,,,,
6.907393015,6.683273765,6.721133814,6.727370026,,,,0.22411925,0.186259201,0.180022989,,,,,,
6.814446507,6.684465431,6.722328248,6.728501122,,,,0.129981076,0.092118259,0.085945385,,,,,,
6.721173254,6.685590144,6.723455646,6.729571436,,,,0.03558311,-0.002282392,-0.008398182,,,,,,
6.674536627,6.686719181,6.724587359,6.730645908,,,,-0.012182554,-0.050050732,-0.056109281,,,,,,
6.651218313,6.687813145,6.725684072,6.731692119,,,,-0.036594832,-0.074465759,-0.080473806,,,,,,
6.639559157,6.688606388,6.726479495,6.732456497,,,,-0.049047231,-0.086920338,-0.09289734,,,,,,
6.6233,6.688890267,6.72676447,6.73273934,,,,-0.065590267,-0.10346447,-0.10943934,,,,,,
6.6267,6.689013998,6.726888794,6.732865959,,,,-0.062313998,-0.100188794,-0.106165959,,,,,,
6.6279,6.689113819,6.726989074,6.732967562,,,,-0.061213819,-0.099089074,-0.105067562,,,,,,
6.6215,6.689068843,6.72694392,6.732922632,,,,-0.067568843,-0.10544392,-0.111422632,,,,,,
6.6052,6.689027378,6.726902285,6.73288102,,,,-0.083827378,-0.121702285,-0.12768102,,,,,,
6.5958,6.688949716,6.726824294,6.732802777,,,,-0.093149716,-0.131024294,-0.137002777,,,,,,
6.5722,6.688759073,6.726632834,6.732610489,,,,-0.116559073,-0.154432834,-0.160410489,,,,,,
6.5821,6.688492973,6.726365592,6.732342043,,,,-0.106392973,-0.144265592,-0.150242043,,,,,,
6.58705,6.688792492,6.726665169,6.732608338,,,,-0.101742492,-0.139615169,-0.145558338,,,,,,
6.589525,6.688187401,6.726058466,6.732026637,,,,-0.098662401,-0.136533466,-0.142501637,,,,,,
6.5907625,6.6875824,6.725451851,6.731445037,,,,-0.0968199,-0.134689351,-0.140682537,,,,,,
6.59138125,6.68735582,6.725224788,6.731230838,,,,-0.09597457,-0.133843538,-0.139849588,,,,,,
6.591690625,6.68731842,6.725187472,6.731200307,,,,-0.095627795,-0.133496847,-0.139509682,,,,,,
6.591845313,6.687129798,6.72499853,6.73102441,,,,-0.095284485,-0.133153217,-0.139179097,,,,,,
6.591922656,6.687356905,6.725226367,6.731246341,,,,-0.095434249,-0.133303711,-0.139323685,,,,,,
6.591961328,6.687811153,6.725682076,6.731690236,,,,-0.095849825,-0.133720748,-0.139728908,,,,,,
6.591980664,6.688189547,6.726061604,6.732057603,,,,-0.096208883,-0.13408094,-0.140076939,,,,,,
6.626290332,6.688416706,6.726289493,6.732279588,,,,-0.062126374,-0.099999161,-0.105989256,,,,,,
6.680495166,6.688378757,6.72625138,6.732241299,,,,-0.007883591,-0.045756214,-0.051746133,,,,,,
6.745197583,6.688075703,6.725947271,6.731942743,,,,0.05712188,0.019250312,0.01325484,,,,,,
6.821398792,6.687696776,6.725566963,6.731567636,,,,0.133702016,0.095831829,0.089831156,,,,,,
6.912599396,6.687393221,6.725262104,6.73126137,,,,0.225206175,0.187337292,0.181338026,,,,,,
7.018099698,6.686862577,6.724729428,6.730733191,,,,0.331237121,0.29337027,0.287366507,,,,,,
7.121899849,6.686331434,6.724196004,6.730197303,,,,0.435568415,0.397703845,0.391702546,,,,,,
7.123599924,6.685725019,6.72358723,6.729592672,,,,0.437874905,0.400012694,0.394007252,,,,,,
7.122749887,6.685383625,6.723244371,6.729248227,,,,0.437366262,0.399505516,0.39350166,,,,,,
7.122324868,6.68519397,6.723053901,6.729056876,,,,0.437130898,0.399270967,0.393267992,,,,,,
7.122112358,6.685269831,6.723130088,6.729133416,,,,0.436842527,0.39898227,0.392978942,,,,,,
7.122006104,6.685534798,6.723395948,6.729393549,,,,0.436471306,0.398610156,0.392612555,,,,,,
7.121952976,6.685913584,6.723776115,6.729768518,,,,0.436039392,0.398176861,0.392184458,,,,,,
7.121926413,6.687184534,6.725052522,6.73105082,,,,0.434741879,0.396873891,0.390875593,,,,,,
7.121913131,6.687402164,6.725270841,6.731263192,,,,0.434510967,0.39664229,0.390649939,,,,,,
7.12190649,6.687696236,6.725566176,6.731559889,,,,0.434210254,0.396340314,0.390346601,,,,,,
7.121903169,6.688189547,6.726061604,6.732057603,,,,0.433713622,0.395841565,0.389845566,,,,,,
7.084101585,6.688531091,6.726404615,6.732402195,,,,0.395570494,0.35769697,0.35169939,,,,,,
7.046900792,6.688493676,6.726367284,6.732371648,,,,0.358407116,0.320533508,0.314529144,,,,,,
7.017350396,6.688380363,6.726253729,6.732264527,,,,0.328970033,0.291096667,0.285085869,,,,,,
7.002575198,6.688267053,6.726140178,6.73215741,,,,0.314308145,0.27643502,0.270417788,,,,,,
6.995187599,6.687850717,6.725722543,6.731751767,,,,0.307336882,0.269465056,0.263435832,,,,,,
6.9914938,6.687282651,6.725152527,6.731193041,,,,0.304211149,0.266341273,0.260300759,,,,,,
6.9811,6.686789979,6.724657983,6.730703175,,,,0.294310021,0.256442017,0.250396825,,,,,,
6.9878,6.686410607,6.724276982,6.730320413,,,,0.301389393,0.263523018,0.257479587,,,,,,
6.98025,6.686408958,6.724274594,6.73029713,,,,0.293841042,0.255975406,0.24995287,,,,,,
6.960875,6.686709723,6.724575428,6.730564568,,,,0.274165277,0.236299572,0.230310432,,,,,,
6.9324875,6.68676472,6.724629802,6.730594859,,,,0.24572278,0.207857698,0.201892641,,,,,,
6.90964375,6.686922837,6.724787182,6.730713015,,,,0.222720913,0.184856568,0.178930735,,,,,,
6.889021875,6.68760608,6.725471285,6.731342141,,,,0.201415795,0.16355059,0.157679734,,,,,,
6.869910938,6.688608248,6.726474962,6.732272893,,,,0.18130269,0.143435976,0.137638045,,,,,,
6.852755469,6.689469585,6.727338337,6.733094588,,,,0.163285884,0.125417132,0.119660881,,,,,,
6.834977734,6.689730254,6.727599671,6.733344689,,,,0.14524748,0.107378063,0.101633045,,,,,,
6.819488867,6.689860596,6.727730345,6.733469748,,,,0.129628271,0.091758522,0.086019119,,,,,,
6.8002,6.689925769,6.727795684,6.733532279,,,,0.110274231,0.072404316,0.066667721,,,,,,
6.7957,6.689958355,6.727828353,6.733563545,,,,0.105741645,0.067871647,0.062136455,,,,,,
6.7871,6.689974649,6.727844689,6.733579178,,,,0.097125351,0.059255311,0.053520822,,,,,,
6.7773,6.689982796,6.727852856,6.733586995,,,,0.087317204,0.049447144,0.043713005,,,,,,
6.7642,6.689986868,6.727856939,6.733590902,,,,0.074213132,0.036343061,0.030609098,,,,,,
6.749,6.689495767,6.72736373,6.733095336,,,,0.059504233,0.02163627,0.015904664,,,,,,
6.7334,6.690331119,6.7282019,6.733916507,,,,0.043068881,0.0051981,-0.000516507,,,,,,
6.72355,6.690370646,6.728242354,6.733977889,,,,0.033179354,-0.004692354,-0.010427889,,,,,,
6.706225,6.690900724,6.728773946,6.734491171,,,,0.015324276,-0.022548946,-0.028266171,,,,,,
