DO_org,DO_w,DO_b,DO_g,,,,DOE_w,DOE_b,DOE_g
7.58682645,7.576998665,7.618365252,7.623032685,,,,0.009827785,-0.031538802,-0.036206235
7.61540745,7.606679787,7.648078952,7.651593469,,,,0.008727663,-0.032671502,-0.036186019
7.5996879,7.590608305,7.63198323,7.636019697,,,,0.009079595,-0.03229533,-0.036331797
7.57825215,7.568336054,7.609713228,7.615031309,,,,0.009916096,-0.031461078,-0.036779159
7.57825215,7.569203933,7.610584145,7.615896087,,,,0.009048217,-0.032331995,-0.037643937
7.58396835,7.574050528,7.61541292,7.620186896,,,,0.009917822,-0.03144457,-0.036218546
7.5882555,7.579768675,7.621142552,7.625757833,,,,0.008486825,-0.032887052,-0.037502333
7.59825885,7.589105413,7.630476787,7.634545682,,,,0.009153437,-0.032217937,-0.036286832
7.59825885,7.589210243,7.630597263,7.634874673,,,,0.009048607,-0.032338413,-0.036615823
7.5911136,7.581649757,7.62301279,7.627372164,,,,0.009463843,-0.03189919,-0.036258564
7.6139784,7.604298052,7.645700818,7.649386269,,,,0.009680348,-0.031722418,-0.035407869
7.573965,7.564453578,7.605815533,7.611137047,,,,0.009511422,-0.031850533,-0.037172047
7.60397505,7.594503542,7.635943402,7.640665343,,,,0.009471508,-0.031968352,-0.036690293
7.57539405,7.56581903,7.607190701,7.612575649,,,,0.00957502,-0.031796651,-0.037181599
7.55252925,7.543514512,7.584931864,7.592462704,,,,0.009014738,-0.032402614,-0.039933454
7.5596745,7.550230128,7.591642205,7.598632046,,,,0.009444372,-0.031967705,-0.038957546
7.5425259,7.53309315,7.574456675,7.581787433,,,,0.00943275,-0.031930775,-0.039261533
7.5682488,7.559494745,7.60091105,7.607368451,,,,0.008754055,-0.03266225,-0.039119651
7.61540745,7.605507696,7.646922316,7.650701719,,,,0.009899754,-0.031514866,-0.035294269
7.62112365,7.612175707,7.653617964,7.657414941,,,,0.008947943,-0.032494314,-0.036291291
7.5368097,7.527965076,7.569325795,7.576962128,,,,0.008844624,-0.032516095,-0.040152428
7.6168365,7.608024643,7.649491994,7.653850206,,,,0.008811857,-0.032655494,-0.037013706
7.6339851,7.624046835,7.665522346,7.669140069,,,,0.009938265,-0.031537246,-0.035154969
7.59825885,7.588591303,7.629963573,7.63407235,,,,0.009667547,-0.031704723,-0.0358135
7.6225527,7.613222832,7.654662233,7.65836662,,,,0.009329868,-0.032109533,-0.03581392
7.59254265,7.582778041,7.62416835,7.628847225,,,,0.009764609,-0.0316257,-0.036304575
7.57253595,7.562559155,7.603980761,7.610327876,,,,0.009976795,-0.031444811,-0.037791926
7.61540745,7.606612806,7.64804682,7.652027333,,,,0.008794644,-0.03263937,-0.036619883
7.61254935,7.60352599,7.644981186,7.649417509,,,,0.00902336,-0.032431836,-0.036868159
7.53252255,7.522705171,7.564047635,7.571735819,,,,0.009817379,-0.031525085,-0.039213269
7.60683315,7.598025995,7.639402711,7.643070728,,,,0.008807155,-0.032569561,-0.036237578
7.54967115,7.539942753,7.581287393,7.587852305,,,,0.009728397,-0.031616243,-0.038181155
7.6082622,7.599306725,7.64076589,7.64549137,,,,0.008955475,-0.03250369,-0.03722917
7.6225527,7.612922643,7.654380392,7.658344874,,,,0.009630057,-0.031827692,-0.035792174
7.55824545,7.548791945,7.590181053,7.596890539,,,,0.009453505,-0.031935603,-0.038645089
